,1001,DONE,2 cm x 2 cm,30k,125 GeV e-,41.25,41.25,,DSB1,Started May 26th 7PM,"Thomas, Ohannes, Carlos",,
,1002,DONE,2 cm x 2 cm,30k,125 GeV e-,41.25,41.25,,DSB1,,"Thomas, Ohannes, Carlos",,
,1003,DONE,2 cm x 2 cm,30k,125 GeV e-,41.25,41.25,,DSB1,,"Thomas, Ohannes, Carlos",,
,1004,DONE,2 cm x 2 cm,30k,125 GeV e-,41.25,41.25,,DSB1,,"Thomas, Ohannes, Carlos",,
,1005,DONE,2 cm x 2 cm,30k,125 GeV e-,41.25,41.25,,DSB1,,"Thomas, Ohannes, Carlos",,
,1006,DONE,2 cm x 2 cm,30k,125 GeV e-,41.25,41.25,,DSB1,,"Thomas, Ohannes, Carlos",,
,1007,DONE,2 cm x 2 cm,30k,125 GeV e-,41.25,41.25,,DSB1,,"Thomas, Ohannes, Carlos",,
,1008,DONE,2 cm x 2 cm,30k,125 GeV e-,41.25,41.25,,DSB1,,"Thomas, Ohannes, Carlos",,
,1009,DONE,2 cm x 2 cm,30k,125 GeV e-,41.25,41.25,,DSB1,,"Thomas, Ohannes, Carlos",,
,1010,DONE,2 cm x 2 cm,30k,125 GeV e-,41.25,41.25,,DSB1,,"Thomas, Ohannes, Carlos",,
,1011,DONE,2 cm x 2 cm,30k,125 GeV e-,41.25,41.25,,DSB1,,"Thomas, Ohannes, Carlos",,
,1012,DONE,2 cm x 2 cm,30k,125 GeV e-,41.25,41.25,,DSB1,,"Thomas, Ohannes, Carlos",,
,1013,DONE,2 cm x 2 cm,30k,125 GeV e-,41.25,41.25,,DSB1,,"Thomas, Ohannes, Carlos",,
,1014,DONE,2 cm x 2 cm,30k,125 GeV e-,41.25,41.25,,DSB1,,"Thomas, Ohannes, Carlos",,
,1015,DONE,2 cm x 2 cm,30k,125 GeV e-,41.25,41.25,,DSB1,,"Thomas, Ohannes, Carlos",,
,1016,DONE,2 cm x 2 cm,30k,125 GeV e-,41.25,41.25,,DSB1,,"Thomas, Ohannes, Carlos",,
,1017,DONE,2 cm x 2 cm,30k,125 GeV e-,41.25,41.25,,DSB1,,"Thomas, Ohannes, Carlos",,
,1018,DONE,2 cm x 2 cm,30k,125 GeV e-,41.25,41.25,,DSB1,,"Thomas, Ohannes, Carlos",,
,1019,DONE,2 cm x 2 cm,30k,125 GeV e-,41.25,41.25,,DSB1,,"Thomas, Ohannes, Carlos",,
,1020,DONE,2 cm x 2 cm,30k,125 GeV e-,41.25,41.25,,DSB1,,"Thomas, Ohannes, Carlos",,
